target,text
negative,@_spikes_  Nopeeee  Have Youu ? x
negative,"@chimpocalypse NOOOOO, james marsden, give me at least a little credit "
negative,"@doombox yep. today was our last day  it was soo fun there, regardless of the stupid sched :|"
positive,"@Boshbrand Thanks for the retweet. You captured the message well, young fu "
positive,"@ThePaulDaniels My gran once lost her house keys, only to find them the next day in the fridge. Might be worth a look, just in case. "
positive,"@GDGOfficial Don't forget to pack your pocketknife! Safe travels, Gavin &amp; have a great time in Europe! "
positive,Solat jumaat in masjid putrajaya. managed to buy a shirt and a pair of pants at souq. 
positive,"@Applecored Oh I know I just meant &quot;that&quot; stare, the one about two seconds from certain death "
negative,"iphone 3.0 beta 5?simulator performance? 2.2.1 ???, UITableView?cells?2.2.1?????????, 3.0 beta 5????????cell?, ?????????? "
positive,So I picked to stay with with Tori 
negative,@MANDY_EMMERSON me to but cannot anymore  have a good one 
negative,"@mpphillips JCCwilliams @megsanders a couple of hundred and the gym. oh, and an idea about opening. Now to essay "
negative,I remember like it was yesterday .. I miss you 
positive,@MissQuant good morning! 
positive,"I just woke up and had lunch. Wow, I'm such a bum. Wake up eat lunch, go to my computer and sleep again. Welcome to my life. "
negative,@Mmmfresh Hahahaha i know i scared myself not good 
positive,10 random tweets...and this time I will number them 
negative,"$295 later, my scooter is up and running and as good as new! now to sell it "
negative,Just got home from work and about to relax and watch the END of Medium 
positive,introduction is horrible :/ whatever i'll fix it eventually 
negative,hmmm todays been a gud day 6 exams in 1 lesson  got cdb got the last 3 too do
positive,Happy mother's day to all the mother's out there... even if you are the mother of a pet. 
negative,Awww I missed everyone 
positive,2am Jack in the Box and &quot;Naked Gun&quot; with John. ...he's making me feel so much better  p.s  http://twitpic.com/6ti50
positive,"Awww @KellyBOB09, i love youuuuu, too n Oh My Gosh AMBER SMITH Bestie everr!!!! i love u hunnn  xxxxxxxxxx"
negative,Hubby came down for the weekend and now he's flying back home. I miss him  Had a fun weekend though ;-)
negative,"wishes he was up in Norcal, watching Tiesto "
negative,i miss british india  and tiny declan with his &quot;surfing&quot; dancing 
positive,@3keseys Just one more way to talk online  
positive,I was drinking greek beer but passed on the boot drinking 
negative,"horny ,, but only my little dog at my room ! "
positive,"@martywittrock Wow....sounds like, um, fun? Get some rest when you get a chance...have a great day! "
positive,"@GuvnaB you did good last night, thanks for lettting me get a photo with u. "
positive,rehearsal for the grad. ceremony. can't stop yawning (slept late last night). lunch with Wendy &amp; Carol. nice day. 
positive,@KnightsofGuild Cool! ya have green shirts! I have an odd obsession with green. not sure why.  well gotta try sleep. have a great nite!
negative,just finished crying. this week is my last week of school. 
positive,"@Bkk_Saluja i'm DYING to visit thailand, so hopefully 2010! why don't you meet me in India this fall? or better yet - the states?? "
positive,"@Addiiee i have invites to the Alonzo show. idk if my grandma plans to go. haha, if you're going to that show mb we'll see eachother. "
negative,this cold case was actually sad  aww
positive,off to pick up mum for a day in my gardens  or at least an hour or two  lots of cleaning to do for the critters today too
positive,@theJayson That's not false! 
positive,@boagworld Not great... 
positive,Check out www.kiva.org and consider making a micro loan!!! It's an amazing website 
negative,looking at college pics makes me miss my college friends. 
positive,@Marieblue17 i'm browsing the Store to see what I want to spend my points on 
positive,"@babygirlparis hey, have fun! its charlie bryant. met u at book-a-million last summer. would love to speak with you again sometime. "
positive,@TamekaRaymond speak on speak on 
positive,Anyone think @chrispirillo looks slightly like Leonard Hofstadter lol  from The Big Bang Theory . .
negative,@RoyaltyMV i can really only hope so... 
positive,"@HotMamaGowns Ha ha! I think u can pink in MI--my SIL is from MI, will receive the gown here &amp; they're likely going 2 move back 2 MI soon "
positive,"has been invited for tea, thanks @askygoneonfire, see you soon  x"
negative,@LejlaXO Back from a vaca I couldnt afford or attend with scheduling.  Like south of the border egg rolls from Chilies so GOOD.
negative,@TravisLegge Rubiks cubes can suck my non existant dick. I've never been able to finish ONE 
positive,@sj39 yea.  but not an agent so there is hope for me 
positive,@putitaway - Oh I will be. 
negative,hour 3 of JONAS campout! raining.... stilll.  but that's okayyy!!! &lt;3 we love them!
negative,"i have no stress release, especially with no hockey  always same environment and person (mum) *grrrr*"
negative,"Watching the Tony Award really make me miss home, more so than I already am "
negative,Getting ready for skewl. Tired as crap.!     *Ms.ChelseaBaby(:&lt;3*
positive,"@MattFreeAllred I'm practicing my viomalin! That's what I'm doing at home! Also, I work in the morning. "
positive,@Jason_Manford *says nothing* 
positive,@Taylorgotbeats  thank you!
negative,is it 3pm yet........  
positive,"I Got A Tan Today  Well Sunburn, The Tan Was From A Can  That Rhymes "
negative,"I'm at work eating a pot noodle, wishing I was at home with emma "
positive,misses mr. manuel very much -- thinking about going to surprise him later 
positive,@krystinascott glad you enjoyed it hunni ^-^ Now I can say the hard job of all the week ended now ^-^ *tired kitty* 
negative,church. Amber's last kid jam  last last one for the season though.  season
negative,"@cezarmaroti i hope that my odds are better on the job market after pass my course, but i guess that not will be .. "
negative,not going into school. asthma's acting up BIG time. 
positive,With Kristine and Medha  hahah we're such goofballs. Its fun..hahha we just had a really funny moment with our school security guards ;)
positive,Good Morning! Off into town to do some shopping inabit. Hows everybody? 
negative,@agoodeye I am soooo disapoointed I couldn't make it  I will be there next time! Glad it was productive.
negative,@xDorianGrayx i may die without my phone.  hmmm friday would be good!
negative,@TheGodmutha mmmmmmmmmm danny naked would be even better lol but not gonna happen 
negative,@missrenne you know how the cupboards here confuse me  i may venture to safers in a bit
positive,nite nite girlies. when i wake up it will be grey's finale time  SQUEEE! Gosh.. i don't know if I'm even gonna be able to sleep! GAH! xoxo
positive,"#Apple please make #iTunes #music available in #Russia! We are many and want to BUY LEGAL music, too! russians, retweet "
positive,Off to watch Bones tweet ya later 
positive,Conan's first night is going great! 
negative,No internet at home for next 3-4 days 
positive,@jakobd muhaha. du hast echt pech. 
positive,@Lance_Bass  Been missing you!  Don't be such a stranger!  Let us hear from you more often!   
negative,Holy Crap.  I seriously need to clean my house.  It's rediculously dirrrrrty.  I guess that's what working 14 hours a day will do. 
negative,@BrettMcGuire - So this one ruins your beautiful morning already.  Where are you heading?
negative,Lovin' this weather... Wishin' I wasn't working  All for the BEST cause.. GO TEAM ELLIOTT! #pcpo #roft
negative,"haven't twittered all day long, but i don't feel like it. im in a really bad mood right now "
negative,Thanks @ashleymacadam!! Joe got me into it this past week. I know@macadamfamily. It sucks and its overrated. But I'll fail if I dont!! 
negative,nhá» nhÃ  quÃ¡!!! cá»© má»i láº§n nghe bÃ i Giáº¥c MÆ¡ TrÆ°a 
positive,"@spunbean Nope, going to pizza hut! "
negative,#haveyouever sat on a bumblebee 
negative,i always thought it was thursday todayy.. blahh its friday! which means in 2 days school starts again. 
positive,"http://twitpic.com/7gc9g - Just woken up by the puppy, morning all "
positive,knitting and anastatia. by myself. this is why im single. 
negative,@thatlass the only effective way to get rid of headaches is loud music and sleep and little yellow migraine pills 
positive,@mizzkawaii find a place for refreshing 
positive,@Allison_M_Parr coolness.   malinda is following me.   yay!
positive,@CHAOTICBEAUTY1 &quot;I don't need your drama! I got cable for that!&quot; You are a gizzeek! 
positive,@twinkle47 haha well as I live in a block of sexy apartments (yes I know it's still a flat) it'll have to wait until the gardeners come 
positive,@ullahe Did you say coffee?    Thanks for the idea!!
positive,Just finished the &quot;good&quot; mission in inFamous. That game R*o*c*k*s 
positive,is at the nans  helping with her family tree.
negative,Hey #Mega64 not startin   (The Mega64 Podcast LIVE live &gt; http://ustre.am/1rpS)
positive,IDIOTat)MilanQ Heyy. Th*nks For The Follow.  Have A Good Night. (Frank_Whyte) #IDIOT
negative,@jkatherine your poor little back  i hope you feel better soon love
positive,@JoeFinder After your hectic day in NYC.  http://bit.ly/JX4mA
negative,"@nspen1 Unfortunately, they were nearly dead and considered dangerous  More info here http://is.gd/15Czb"
positive,#Follow Friday wtf is that? lo I'm guessing this is it lol: @HumanCollective @GaxAngel @caffeinatedKiss @befosaur 
positive,watching the mtv movie awards 
positive,@AmyStar92 aww I have until 9 
negative,"oh man,i'm exhausted.  i ran errands for hours and then spent all night setting up my new light kit and painting props.  boo!!!!!"
positive,Crossing the border. Going to the united states. 
negative,Some mean (probably) old lady took the bird I wanted.  
negative,@sinatao   what's wrong?
negative,Now have a lump the size of gibralter on my forehead cause I walloped my head in work today 
negative,Is sitting on the runway waiting for ramp space... approx 30 min wait 
positive,@symphnysldr my party time is 3:22  party together?
negative,@queenstephh OUCHIEEEE!  sorry betch
negative,@jerseygalrocker NOOOO! Sorry I can actually reply! I'm sorry! You should text all day tomorrow! I know its not the same!  I feel for ya.
negative,Darcey is eating chicken teddies and won't let me have any  what a mean child!
positive,@mileycyrus pleaseee come to Malaysia!! PRETTY PLEASE!!  xoxoxo
positive,@DysenteryPinky Lol well said  -Lily 
negative,@netsterz So sorry to hear about your Grandfather.Hope everyone is taking it well.Its so difficult to lose someone close to you..  
